"Manufacturer / Distributor","Disc Model","Max Weight (gr)","Diameter (cm)","Height (cm)","Rim Depth (cm)","Inside Rim Diameter (cm)","Rim Thickness (cm)","Rim Depth / Diameter Ratio (%)","Rim Configuration","Flexibility (kg)","Class","Max Weight Vint (gr)","Last Year Production","Certification Number","Approved Date"
"Discraft","Focus (Ace Race 2009)","175.1","21.1","2.1","1.6","19.1","1.0","7.6","60.25","8.85","","","","09-20","Sep 9, 2009"
"CHING Sports","Power Precision","176.8","21.3","2.2","1.4","18.7","1.3","6.6","48.25","8.05","","","","09-19","Aug 4, 2009"
"Latitude 64","Blitz","176.0","21.2","1.6","1.2","16.8","2.2","5.7","30.50","9.19","","","","09-18","Jul 21, 2009"
"Discraft","Stalker","179.3","21.6","1.6","1.2","18.4","1.6","5.6","32.50","8.51","","","","09-17","Jun 17, 2009"
"Discraft","Ringer","174.3","21.0","1.8","1.2","19.2","0.9","5.7","67.75","6.12","","","","09-16","Jun 17, 2009"
"Gateway Disc Sports","Savage","176.8","21.3","1.8","1.2","17.4","1.9","5.6","30.00","5.33","","","","09-14","Apr 16, 2009"
"Gateway Disc Sports","Apache (retooled)","176.8","21.3","1.8","1.2","17.4","1.9","5.6","28.50","4.76","","","","09-15","Apr 16, 2009"
"Latitude 64","Pure","176.0","21.2","1.8","1.4","19.2","1.0","6.6","48.25","6.69","","","","09-13","Apr 13, 2009"
"Disc Golf Association (DGA)","Aftershock (D-Line)","178.5","21.5","2.1","1.2","18.9","1.3","5.6","38.00","7.60","","","","09-11","Apr 9, 2009"
"Disc Golf Association (DGA)","Sparkle Reef","176.0","21.2","2.1","1.4","19.2","1.0","6.6","49.25","5.10","","","","09-12","Apr 9, 2009"
"Gateway Disc Sports","Voodoo","175.1","21.1","2.1","1.6","19.1","1.0","7.6","62.00","3.52","","","","09-10","Mar 31, 2009"
"Lightning Discs","Maxline -- 1","176.8","21.3","1.7","1.1","17.1","2.1","5.2","33.25","7.03","","","","09-08","Feb 27, 2009"
"Disc Golf Association (DGA)","Aftershock","178.5","21.5","2.0","1.2","18.9","1.3","5.6","38.00","7.82","","","","09-06","Feb 26, 2009"
"Disc Golf Association (DGA)","Sparkle Aftershock","179.3","21.6","2.0","1.2","19.0","1.3","5.6","38.00","7.26","","","","09-07","Feb 26, 2009"
"Innova-Champion Discs","Dart","176.0","21.2","2.2","1.4","18.8","1.2","6.6","38.00","5.10","","","","09-05","Feb 18, 2009"
"Vibram Disc Golf","Summit","175.1","21.1","1.9","1.2","19.2","0.9","5.7","61.25","0.56","","","","09-04","Jan 28, 2009"
"CHING Sports","Ching Big Heavy","200.0","26.4","3.7","2.1","24.9","0.7","8.0","104.00","8.50","Super Class & Vintage Class","176.9","","09-03","Jan 19, 2009"
"Vibram Disc Golf","V.P.","175.1","21.1","2.0","1.6","19.1","0.9","7.6","66.75","4.76","","","","09-01","Jan 19, 2009"
"CHING Sports","Ching Ultimate","200.0","26.6","3.6","2.1","25.1","0.7","7.9","104.00","6.58","Super Class & Vintage Class","178.2","","09-02","Jan 19, 2009"
"Disc Golf Association (DGA)","Tsunami (D-Line)","176.0","21.2","1.8","1.2","17.5","1.9","5.7","26.50","12.13","","","","08-39","Dec 21, 2008"
"Disc Golf Association (DGA)","Blowfly II","180.1","21.7","2.3","1.7","18.9","1.4","7.8","46.60","1.13","","","","08-38","Dec 21, 2008"
"Innova-Champion Discs","Groove","175.1","21.1","1.7","1.2","16.3","2.4","5.7","28.00","10.21","","","","08-37","Dec 5, 2008"
"Discraft","Nebula (Ace Race 2008)","176.8","21.3","2.0","1.3","18.7","1.3","6.1","44.50","7.03","","","","08-36","Nov 26, 2008"
"Latitude 64","Trident","177.6","21.4","1.4","1.1","17.6","1.9","5.1","36.75","11.11","","","","08-34","Nov 25, 2008"
"Latitude 64","XXX","178.5","21.5","1.5","1.1","17.5","2.0","5.1","32.50","12.02","","","","08-33","Nov 21, 2008"
"Latitude 64","Striker","177.6","21.4","1.6","1.2","17.6","1.9","5.6","29.00","11.68","","","","08-32","Nov 12, 2008"
"Latitude 64","Riot","176.0","21.2","1.9","1.2","16.8","2.2","5.7","30.00","8.73","","","","08-30","Aug 30, 2008"
"Innova-Champion Discs","Boss","176.0","21.2","1.5","1.2","16.2","2.5","5.7","26.00","7.60","","","","08-28","Aug 26, 2008"
"Discmania","DD (Hysteria, Distance Driver)","175.1","21.1","1.6","1.2","16.7","2.2","5.7","30.25","9.19","","","","08-29","Aug 26, 2008"
"Wham-O / DTW","S Driver","175.1","21.1","1.6","1.2","17.1","2.0","5.7","26.00","8.62","","","","08-26","Jul 23, 2008"
"Discwing","Crosshair","176.0","21.2","1.9","1.4","19.4","0.9","6.6","59.75","6.69","","","","08-24","Jul 11, 2008"
"Discwing","Quarter K II","174.3","21.0","1.8","1.1","16.8","2.1","5.2","28.00","7.60","","","","08-23","Jul 11, 2008"
"Discwing","Transcend","176.0","21.2","1.9","1.3","19.4","0.9","6.1","47.50","4.99","","","","08-25","Jul 11, 2008"
"Discmania","PD (Freak, Power Driver)","175.1","21.1","1.7","1.2","17.3","1.9","5.7","28.25","11.11","","","","08-22","Jul 2, 2008"
"CHING Sports","Power Genesis","176.0","21.2","1.5","1.2","16.8","2.2","5.7","27.50","6.12","","","","08-21","Jul 2, 2008"
"Innova-Champion Discs","Monarch","175.1","21.1","1.6","1.2","17.0","2.1","5.7","30.75","10.21","","","","08-20","Jun 2, 2008"
"Innova-Champion Discs","Pulsar","200.0","27.5","3.3","2.0","26.0","0.8","7.3","93.50","9.19","Super Class & Vintage Class","184.3","","08-19","Jun 2, 2008"
"Discraft","Zone","175.1","21.1","2.0","1.3","18.8","1.2","6.2","46.00","10.55","","","","08-18","May 28, 2008"
"Innova-Champion Discs","Pig","176.0","21.2","2.1","1.4","18.4","1.4","6.6","57.50","9.64","","","","08-17","May 20, 2008"
"Latitude 64","Core","180.1","21.7","2.0","1.2","18.9","1.4","5.5","48.00","8.50","","","","08-16","Mar 18, 2008"
"CHING Sports","Supreme Celerity","176.8","21.3","1.6","1.2","17.4","1.9","5.6","29.25","5.10","","","","08-14","Mar 13, 2008"
"CHING Sports","Power Celerity","176.0","21.2","1.5","1.2","17.3","1.9","5.7","29.25","8.50","","","","08-15","Mar 13, 2008"
"CHING Sports","Supreme Prodigy","176.0","21.2","1.6","1.2","17.4","1.9","5.7","28.00","7.94","","","","08-11","Mar 13, 2008"
"CHING Sports","Power Juju","176.0","21.2","2.5","1.5","19.5","0.9","7.1","71.50","4.20","","","","08-10","Mar 13, 2008"
"CHING Sports","Power Prodigy","176.8","21.3","1.6","1.2","17.4","1.9","5.6","28.00","9.30","","","","08-12","Mar 13, 2008"
"Innova-Champion Discs","XCaliber","175.1","21.1","1.6","1.2","16.4","2.3","5.7","29.50","8.85","","","","08-09","Mar 13, 2008"
"CHING Sports","Power Velocity","176.8","21.3","1.5","1.2","17.4","1.9","5.6","29.25","8.50","","","","08-13","Mar 13, 2008"
"Discraft","Avenger-SS","177.6","21.4","1.8","1.2","17.6","1.9","5.6","29.25","11.00","","","","08-04","Feb 21, 2008"
"Discraft","Buzzz-SS","179.3","21.6","2.1","1.3","19.0","1.3","6.0","43.50","9.87","","","","08-06","Feb 21, 2008"
"Discraft","Buzzz-GT","178.5","21.5","1.7","1.3","19.0","1.3","6.0","44.00","12.02","","","","08-07","Feb 21, 2008"
"Discraft","Surge-SS","175.1","21.1","1.6","1.2","16.8","2.1","5.7","29.25","7.48","","","","08-05","Feb 21, 2008"
"Discraft","Force","175.1","21.1","1.7","1.2","16.5","2.3","5.7","26.00","11.79","","","","08-08","Feb 21, 2008"
"Snap Discsports","Helios","180.1","21.7","1.6","1.2","17.0","2.3","5.5","28.50","11.79","","","","08-03","Jan 15, 2008"
"Gateway Disc Sports","Assassin","174.3","21.0","1.9","1.1","17.2","1.9","5.2","34.50","10.77","","","","08-02","Jan 4, 2008"
"Gateway Disc Sports","Magic","174.3","21.0","2.1","1.5","19.0","1.0","7.1","54.00","4.54","","","","08-01","Jan 4, 2008"
"Disc Golf Association (DGA)","Reef (Atlantis)","176.0","21.2","2.1","1.4","19.4","0.9","6.6","49.25","7.03","","","","07-49","Dec 10, 2007"
"Disc Golf Association (DGA)","Shockwave","178.5","21.5","2.2","1.3","18.9","1.3","6.0","47.75","7.60","","","","07-47","Oct 29, 2007"
"Discraft","Impact (Ace Race 2007)","179.3","21.6","2.0","1.3","19.0","1.3","6.0","33.75","5.78","","","","07-46","Oct 26, 2007"
"Quest Applied Technologies","Double D","175.1","21.1","1.9","1.1","15.9","2.6","5.2","28.75","8.39","","","","07-45","Oct 22, 2007"
"Gateway Disc Sports","Blast DT","176.8","21.3","1.6","1.1","17.0","2.1","5.2","27.75","9.19","","","","07-44","Sep 21, 2007"
"Innova-Champion Discs","Sonic","179.3","21.6","2.3","1.6","20.4","0.6","7.4","82.00","3.97","Vintage Class","144.7","","07-43","Sep 19, 2007"
"Disc Golf Association (DGA)","Titanic","175.1","21.1","2.2","1.5","19.1","1.0","7.1","63.50","7.03","","","","07-42","Sep 19, 2007"
"CHING Sports","Prodigy","176.8","21.3","1.5","1.2","17.5","1.9","5.6","28.00","9.16","","","","07-48","Jul 15, 2007"
"Wham-O / DTW","Superturn Driver","174.3","21.0","2.0","1.2","17.5","1.7","5.7","29.50","10.21","","","","07-40","Jul 10, 2007"
"Wham-O / DTW","Pluto Platter","193.4","23.3","3.0","1.4","21.9","0.7","6.0","77.50","1.70","Vintage Class","156.1","","07-39","Jul 10, 2007"
"Innova-Champion Discs","Destroyer","175.1","21.1","1.4","1.2","16.7","2.2","5.7","30.50","10.66","","","","07-38","Jun 26, 2007"
"RPM Discs/Disc Golf Aotearoa","Rippa (DGR1)","187.6","22.6","2.5","1.6","21.3","0.7","7.1","90.00","3.52","Vintage Class","151.4","","07-36","Jun 22, 2007"
"RPM Discs/Disc Golf Aotearoa","Arcturus (MR1)","180.9","21.8","2.0","1.2","19.2","1.3","5.5","38.25","3.86","","","","07-37","Jun 22, 2007"
"Innova-Champion Discs","Starfire L (SL)","175.1","21.1","1.7","1.1","17.1","2.0","5.2","29.00","9.41","","","","07-35","Jun 21, 2007"
"Daredevil Discs","Caribou","180.9","21.8","2.1","1.3","19.3","1.3","6.0","40.75","7.14","","","","07-33","Jun 12, 2007"
"Daredevil Discs","Grizzly","181.8","21.9","2.0","1.3","19.3","1.3","5.9","42.25","6.92","","","","07-31","Jun 12, 2007"
"Daredevil Discs","Moose","180.9","21.8","2.1","1.3","19.3","1.3","6.0","41.00","4.31","","","","07-32","Jun 12, 2007"
"Quest Applied Technologies","Rock-It","176.8","21.3","1.8","1.3","18.8","1.3","6.1","54.75","4.08","","","","07-29","Jun 12, 2007"
"Daredevil Discs","Polar Bear","176.0","21.2","2.0","1.5","19.3","1.0","7.1","62.50","4.20","","","","07-30","Jun 12, 2007"
"Innova-Champion Discs","Gremlin","176.0","21.2","1.8","1.2","18.5","1.4","5.7","45.25","9.75","","","","07-28","Jun 5, 2007"
"Quest Applied Technologies","T-Bone","176.0","21.2","1.6","1.2","17.4","1.9","5.7","35.75","6.35","","","","07-26","May 18, 2007"
"Quest Applied Technologies","100 Meter Lazer","176.0","21.2","1.4","1.1","17.0","2.1","5.2","26.50","3.40","","","","07-25","May 3, 2007"
"Wham-O / DTW","Mid Range Approach","179.3","21.6","2.2","1.3","19.2","1.2","6.0","39.25","11.68","","","","07-23","Apr 11, 2007"
"Wham-O / DTW","Turnover Driver","180.1","21.7","2.1","1.1","19.2","1.2","5.1","36.00","10.09","","","","07-24","Apr 11, 2007"
"Gateway Disc Sports","Diablo DT","179.3","21.6","1.3","1.1","17.2","2.2","5.1","26.75","9.64","","","","07-22","Mar 29, 2007"
"Latitude 64","Spike","176.0","21.2","1.8","1.3","19.2","1.0","6.1","56.25","4.65","","","","07-21","Mar 25, 2007"
"Discmania","P1 (Maniac, Putt & Approach)","176.0","21.2","2.0","1.5","19.3","0.9","7.1","56.00","6.01","","","","07-12","Mar 8, 2007"
"Gateway Disc Sports","Rage","177.6","21.4","1.8","1.2","16.9","2.2","5.6","26.25","10.89","","","","07-15","Mar 8, 2007"
"Discmania","P2 (Psycho, Pro Putter)","176.0","21.2","2.1","1.5","19.2","1.0","7.1","58.25","7.03","","","","07-13","Mar 8, 2007"
"Gateway Disc Sports","Warlock","175.1","21.1","2.3","1.6","19.1","1.0","7.6","56.25","6.46","","","","07-16","Mar 8, 2007"
"Innova-Champion Discs","TeeBird L (TL)","175.1","21.1","1.6","1.2","17.5","1.8","5.7","33.00","12.25","","","","07-17","Mar 8, 2007"
"Discmania","CD (Craze, Control Driver)","176.0","21.2","1.3","1.1","17.3","1.9","5.2","28.50","10.43","","","","07-14","Mar 8, 2007"
"Innova-Champion Discs","Kite","176.0","21.2","1.9","1.3","17.9","1.6","6.1","36.25","9.53","","","","07-11","Feb 11, 2007"
"Daredevil Discs","Wolverine","176.0","21.2","1.8","1.2","17.5","1.8","5.7","27.50","10.32","","","","07-07","Jan 19, 2007"
"Daredevil Discs","Gamedisc","200.0","27.1","3.5","2.0","25.6","0.7","7.4","94.50","11.68","Super Class & Vintage Class","181.6","","07-09","Jan 19, 2007"
"Daredevil Discs","Woodchuck","176.0","21.2","2.0","1.5","19.3","0.9","7.1","64.00","1.81","","","","07-08","Jan 19, 2007"
"Daredevil Discs","Beaver","176.0","21.2","2.2","1.6","19.3","0.9","7.5","50.50","3.97","","","","07-06","Jan 19, 2007"
"Daredevil Discs","Swift Fox","175.1","21.1","1.7","1.2","17.6","1.8","5.7","27.00","7.14","","","","07-04","Jan 19, 2007"
"Daredevil Discs","Timberwolf","175.1","21.1","1.6","1.2","17.5","1.8","5.7","27.00","5.78","","","","07-05","Jan 19, 2007"
"Innova-Champion Discs","Firebird L (FL)","175.1","21.1","1.7","1.2","17.3","1.9","5.7","29.25","6.46","","","","07-02","Jan 17, 2007"
"1080 Disc Golf","Radius","175.1","21.1","2.0","1.5","19.0","1.0","7.1","51.75","7.03","","","","07-03","Jan 17, 2007"
"Latitude 64","Vision","175.1","21.1","1.9","1.1","17.4","1.8","5.2","33.00","12.25","","","","07-01","Jan 8, 2007"
"Quest Applied Technologies","Wildfire","176.0","21.2","2.4","1.2","17.7","1.7","5.7","61.75","9.64","","","","06-54","Dec 19, 2006"
"Quest Applied Technologies","Backbone","176.0","21.2","1.9","1.1","18.6","2.3","5.2","54.25","12.25","","","","06-53","Dec 19, 2006"
"Quest Applied Technologies","10 Meter Crossfire","176.0","21.2","2.1","1.4","18.9","1.2","6.6","51.75","10.21","","","","06-52","Dec 18, 2006"
"Quest Applied Technologies","Crossfire","176.0","21.2","2.0","1.4","18.9","1.2","6.6","51.75","6.24","","","","06-51","Dec 18, 2006"
"Quest Applied Technologies","Raging Inferno DT","175.1","21.1","1.9","1.1","16.8","2.1","5.2","27.75","11.34","","","","06-49","Nov 20, 2006"
"Quest Applied Technologies","Ragning Inferno","176.0","21.2","1.9","1.1","16.9","2.1","5.2","27.50","11.57","","","","06-48","Nov 20, 2006"
"Discmania","MD1 (Midrange Driver)","180.1","21.7","2.2","1.3","19.2","1.3","6.0","40.50","8.50","","","","06-47","Nov 14, 2006"
"Gateway Disc Sports","Blurr","176.8","21.3","1.7","1.1","17.0","2.2","5.2","28.00","12.02","","","","06-46","Nov 14, 2006"
"Discraft","Rogue","175.1","21.1","1.7","1.2","16.8","2.2","5.7","28.25","12.02","","","","06-45","Oct 29, 2006"
"Quest Applied Technologies","10 Meter Brick","177.6","21.4","1.8","1.3","19.0","0.3","6.1","30.00","2.49","","","","06-44","Oct 13, 2006"
"Quest Applied Technologies","Scorcher","176.0","21.2","1.9","1.2","16.8","2.2","5.7","30.25","12.02","","","","06-43","Oct 13, 2006"
"Innova-Champion Discs","Max","176.0","21.2","1.9","1.2","16.8","2.2","5.7","34.00","10.43","","","","06-40","Sep 21, 2006"
"Discraft","Meteor (Ace Race 2006)","178.5","21.5","2.0","1.3","18.9","1.3","6.0","49.25","6.46","","","","06-42","Sep 21, 2006"
"Discraft","Torque","179.3","21.6","1.9","1.3","19.1","1.3","6.0","43.25","6.46","","","","06-41","Sep 21, 2006"
"Quest Applied Technologies","Inferno","176.0","21.2","1.9","1.3","17.1","2.1","6.1","26.50","11.68","","","","06-38","Aug 28, 2006"
"Quest Applied Technologies","Scream DT Ultra 2","176.8","21.3","1.6","1.3","16.9","2.2","6.1","26.00","6.24","","","","06-39","Aug 28, 2006"
"RPM Discs/Disc Golf Aotearoa","Kiwi (DGD1, former Raptor)","175.1","21.1","1.4","1.2","17.1","2.0","5.7","26.25","8.05","","","","06-34","Aug 23, 2006"
"RPM Discs/Disc Golf Aotearoa","New Zealand 175g Ultimate Disc (RU1)","200.0","27.3","3.2","1.9","25.8","0.7","7.0","94.25","6.58","Super Class & Vintage Class","182.2","","06-37","Aug 23, 2006"
"RPM Discs/Disc Golf Aotearoa","Temoko (DGR2)","196.7","23.7","2.9","2.3","22.3","0.7","9.7","74.50","9.53","Super Class & Vintage Class","158.8","","06-36","Aug 23, 2006"
"RPM Discs/Disc Golf Aotearoa","Tui (PA1)","175.1","21.1","1.8","1.4","19.3","0.9","6.6","44.25","4.76","","","","06-35","Aug 23, 2006"
"Gateway Disc Sports","Speed Demon DT","176.8","21.3","1.8","1.1","17.0","2.2","5.2","26.00","12.02","","","","06-33","Aug 17, 2006"
"Quest Applied Technologies","Odyssey Power Driver","177.6","21.4","2.1","1.5","17.1","2.2","7.0","27.25","8.28","","","","06-32","Aug 15, 2006"
"Quest Applied Technologies","Scream II","176.8","21.3","2.2","1.4","16.9","2.2","6.6","27.25","9.75","","","","06-31","Aug 1, 2006"
"Quest Applied Technologies","Odyssey True Line Putter","177.6","21.4","2.3","1.5","19.2","1.1","7.0","54.00","7.03","","","","06-30","Aug 1, 2006"
"Innova-Champion Discs","Skeeter","176.0","21.2","1.9","1.3","18.7","1.3","6.1","43.25","9.07","","","","06-28","Jul 8, 2006"
"Discraft","Pulse","176.0","21.2","1.7","1.3","17.1","2.1","6.1","29.75","10.21","","","","06-29","Jun 29, 2006"
"Innova-Champion Discs","CRO","176.0","21.2","2.0","1.4","18.5","1.3","6.6","48.50","6.24","","","","07-34","Jun 21, 2006"
"Quest Applied Technologies","Low Speed Driver","194.2","23.4","1.6","1.4","18.6","2.4","6.0","34.00","8.73","","","","06-27","Jun 21, 2006"
"CHING Sports","Power Legacy (Legacy)","176.0","21.2","1.7","1.1","18.8","1.2","5.2","42.75","6.69","","","","06-26","May 11, 2006"
"CHING Sports","Power Oracle (Oracle)","176.0","21.2","1.8","1.1","18.8","1.2","5.2","42.75","6.58","","","","06-25","May 11, 2006"
"Latitude 64","Mirus","174.3","21.0","2.4","1.1","17.0","2.0","5.2","27.25","10.89","","","","06-23","May 1, 2006"
"Quest Applied Technologies","Odyssey Approach & Putter","178.5","21.5","2.3","1.2","18.1","1.7","5.6","34.75","4.88","","","","06-22","Apr 12, 2006"
"Quest Applied Technologies","Odyssey Driver","176.8","21.3","2.5","1.5","16.8","2.3","7.0","27.00","6.01","","","","06-17","Apr 12, 2006"
"Quest Applied Technologies","Odyssey Putter","176.8","21.3","2.6","1.5","19.0","1.1","7.0","54.00","6.12","","","","06-19","Apr 12, 2006"
"Quest Applied Technologies","Scream DT","175.1","21.1","2.6","1.3","16.8","2.1","6.2","26.00","9.64","","","","06-18","Apr 12, 2006"
"Quest Applied Technologies","Scream DT Max","176.8","21.3","1.7","1.3","16.8","2.3","6.1","31.25","7.03","","","","06-20","Apr 12, 2006"
"Quest Applied Technologies","Scream DT Ultra","177.6","21.4","1.6","1.3","17.0","2.2","6.1","29.00","5.90","","","","06-21","Apr 12, 2006"
"Quest Applied Technologies","Nighthawk","178.5","21.5","2.1","1.4","18.3","1.6","6.5","33.75","5.56","","","","06-15","Apr 3, 2006"
"Snap Discsports","Whitler","187.6","22.6","3.0","1.6","21.2","0.7","7.1","78.75","2.95","Vintage Class","151.4","","06-16","Apr 3, 2006"
"Quest Applied Technologies","Odyssey Midrange","178.5","21.5","2.5","1.5","18.6","1.5","7.0","39.00","9.75","","","","06-14","Apr 3, 2006"
"Quest Applied Technologies","Scream","176.0","21.2","2.2","1.4","16.7","2.2","6.6","26.25","12.25","","","","06-13","Apr 3, 2006"
"Pacific Cycle","Pluto Driver","174.3","21.0","1.7","1.1","18.2","1.4","5.2","29.00","8.62","","","","06-08","Mar 6, 2006"
"Pacific Cycle","Saturn Mid Range","174.3","21.0","1.7","1.1","18.2","1.4","5.2","31.25","8.96","","","","06-09","Mar 6, 2006"
"Innova-Champion Discs","Goblin","176.0","21.2","2.2","1.3","19.3","1.0","6.1","44.25","7.26","","","","06-12","Mar 6, 2006"
"Innova-Champion Discs","Tee-Rex","175.1","21.1","1.7","1.2","16.8","2.2","5.7","30.00","10.21","","","","06-11","Mar 6, 2006"
"Pacific Cycle","Mercury Putter","176.8","21.3","2.0","1.6","19.7","0.8","7.5","60.00","8.96","","","","06-10","Mar 6, 2006"
"Latitude 64","Primitus","174.3","21.0","2.3","1.2","17.0","2.0","5.7","27.00","11.57","","","","06-07","Feb 23, 2006"
"Latitude 64","Medius","178.5","21.5","2.4","1.2","18.8","1.4","5.6","42.50","9.64","","","","06-06","Feb 12, 2006"
"Latitude 64","Sinus AP","176.0","21.2","1.9","1.4","19.3","0.9","6.6","50.75","9.75","","","","06-04","Feb 12, 2006"
"Latitude 64","Sinus SP","176.0","21.2","1.9","1.4","19.3","0.9","6.6","50.75","4.88","","","","06-05","Feb 12, 2006"
"Millennium Golf Discs","Orion LF","175.1","21.1","1.5","1.2","17.4","1.9","5.7","27.25","10.32","","","","06-03","Feb 10, 2006"
"Discraft","Surge","175.1","21.1","1.6","1.2","17.1","2.2","5.7","30.25","10.55","","","","06-02","Feb 8, 2006"
"Discraft","Slipstream-GT (Ace Race 2005)","176.8","21.3","1.7","1.3","17.5","1.9","6.1","29.25","9.30","","","","05-20","Oct 31, 2005"
"Discraft","Banger-GT","176.0","21.2","2.0","1.6","19.2","1.0","7.5","65.75","7.60","","","","05-19","Oct 31, 2005"
"Discraft","Spectra","176.0","21.2","1.7","1.2","16.8","2.2","5.7","30.75","8.85","","","","05-18","Oct 31, 2005"
"Gateway Disc Sports","Hybrid","176.0","21.2","2.2","1.3","17.8","1.7","6.1","32.50","8.96","","","","05-17","Oct 2, 2005"
"Innova-Champion Discs","Roadrunner","175.1","21.1","1.4","1.2","17.5","1.8","5.7","29.00","8.39","","","","05-16","Aug 27, 2005"
"Innova-Champion Discs","Wraith","175.1","21.1","1.4","1.2","16.9","2.1","5.7","26.75","8.85","","","","05-15","Aug 15, 2005"
"Aerobie","Sharpshooter #3","176.8","21.3","1.7","1.3","18.8","1.3","6.1","38.25","11.57","","","","05-13","Jul 28, 2005"
"Aerobie","Sharpshooter #1","176.0","21.2","1.7","1.3","17.1","2.1","6.1","26.75","11.11","","","","05-11","Jun 19, 2005"
"Aerobie","Sharpshooter #2","175.1","21.1","1.7","1.2","18.1","1.6","5.7","26.75","9.52","","","","05-12","Jun 19, 2005"
"Discraft","Tracker","176.0","21.2","1.7","1.2","17.7","1.8","5.7","32.50","11.23","","","","05-10","Jun 19, 2005"
"Innova-Champion Discs","Coyote","180.1","21.7","1.9","1.3","19.4","1.2","6.0","47.25","5.56","","","","05-09","Jun 7, 2005"
"Discraft","Avenger","176.0","21.2","1.7","1.2","17.4","1.9","5.7","26.25","12.25","","","","05-08","May 3, 2005"
"CHING Sports","Fusion Velocity","176.0","21.2","1.7","1.2","17.6","1.8","5.7","28.50","8.85","","","","05-07","Apr 1, 2005"
"CHING Sports","Supreme Velocity","176.0","21.2","1.6","1.2","17.5","1.8","5.7","29.25","4.31","","","","05-06","Apr 1, 2005"
"Millennium Golf Discs","Orion LS","175.1","21.1","1.4","1.2","17.3","1.9","5.7","32.25","12.02","","","","05-05","Mar 31, 2005"
"Discraft","Venom","174.3","21.0","1.6","1.2","16.6","2.2","5.7","30.25","9.98","","","","05-04","Mar 22, 2005"
"Discwing","Quarter K","176.8","21.3","2.0","1.4","16.7","2.3","6.6","28.00","8.96","","","","05-01","Mar 22, 2005"
"Discraft","Drone","178.5","21.5","2.0","1.3","18.5","1.5","6.0","41.25","10.43","","","","05-03","Feb 28, 2005"
"Gateway Disc Sports","Element X","181.8","21.9","1.9","1.2","19.3","1.8","5.5","42.50","9.98","","","","04-14","Dec 1, 2004"
"Innova-Champion Discs","Sidewinder","175.1","21.1","1.4","1.2","17.5","1.8","5.7","28.00","10.43","","","","04-13","Nov 24, 2004"
"Gateway Disc Sports","Element","183.4","22.1","1.7","1.3","19.6","1.3","5.9","39.50","6.35","","","","04-12","Oct 7, 2004"
"Discraft","Glide (Ace Race 2004)","178.5","21.5","2.0","1.3","18.6","1.5","6.0","36.50","11.11","","","","04-11","Oct 6, 2004"
"CHING Sports","Supreme Juju","176.8","21.3","2.5","1.5","19.7","0.8","7.0","71.50","4.20","","","","04-09","Aug 22, 2004"
"Discraft","Flick","175.1","21.1","1.3","1.1","16.9","2.1","5.2","26.00","9.98","","","","04-10","Aug 22, 2004"
"Innova-Champion Discs","Bulldog","175.1","21.1","2.0","1.6","18.6","1.3","7.6","45.00","12.02","","","","04-08","Jul 8, 2004"
"Innova-Champion Discs","Hero Disc Type 235","196.7","23.7","2.9","2.8","22.5","0.6","11.8","77.75","3.74","Super Class & Vintage Class","158.8","","04-15","Jul 8, 2004"
"CHING Sports","Fusion Juju","176.8","21.3","2.2","1.5","19.8","0.8","7.0","76.50","5.90","","","","04-07","Jun 2, 2004"
"Gateway Disc Sports","Illusion","177.6","21.4","1.5","1.1","17.2","2.1","5.1","32.75","10.77","","","","04-06","May 27, 2004"
"Discraft","Tsunami","177.6","21.4","1.9","1.2","17.5","1.9","5.6","28.50","9.41","","","","04-05","May 10, 2004"
"Innova-Champion Discs","Hydra","175.1","21.1","2.0","1.4","18.3","1.4","6.6","44.75","7.82","","","","04-04","May 10, 2004"
"Discraft","Flash","175.1","21.1","1.6","1.2","17.0","2.1","5.7","27.50","8.85","","","","04-03","Apr 14, 2004"
"Innova-Champion Discs","ORC","176.0","21.2","1.9","1.2","17.2","2.0","5.7","27.00","8.85","","","","04-01","Jan 25, 2004"
"Gateway Disc Sports","Spirit","176.0","21.2","1.8","1.1","17.0","2.1","5.2","26.00","12.25","","","","04-02","Jan 25, 2004"
"Wham-O / DTW","Touchline Over","175.1","21.1","2.0","1.2","17.6","1.8","5.7","35.25","9.30","","","","03-19","Oct 27, 2003"
"Wham-O / DTW","Touchline Under","175.1","21.1","1.7","1.2","17.3","1.9","5.7","34.75","9.75","","","","03-20","Oct 27, 2003"
"Wham-O / DTW","Touchline Bank/Long Range Driver","180.1","21.7","2.1","1.2","19.3","1.2","5.5","41.75","6.69","","","","03-16","Oct 23, 2003"
"Wham-O / DTW","Touchline Putter/Putter","176.0","21.2","2.1","1.5","19.3","0.9","7.1","53.25","6.01","","","","03-18","Oct 23, 2003"
"Wham-O / DTW","Touchline True/Mid Range Approach","180.1","21.7","2.1","1.4","19.3","1.2","6.5","45.75","6.56","","","","03-17","Oct 23, 2003"
"Discraft","Breeze (Ace Race 2003)","176.8","21.3","1.8","1.4","19.0","1.2","6.6","55.75","9.98","","","","03-14","Sep 30, 2003"
"Discraft","Buzzz","180.1","21.7","1.9","1.3","19.3","1.2","6.0","44.00","6.24","","","","03-15","Sep 30, 2003"
"Discraft","Crush","175.1","21.1","1.7","1.2","17.0","2.1","5.7","29.00","9.30","","","","03-13","Sep 7, 2003"
"Discraft","Squall","178.5","21.5","1.8","1.3","18.6","1.3","6.0","34.50","9.07","","","","03-12","Jul 10, 2003"
